% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.105214	1	3	1	6.91546e-14	145.791	0
0.106214	1	1	3	3.22215e-14	67.9288	0
0.106214	1	2	2	2.17631e-13	458.807	0
0.106214	1	3	1	6.91469e-14	145.774	0
0.107214	1	1	3	3.22223e-14	67.9305	0
0.107214	1	2	2	2.17638e-13	458.821	0
0.107214	1	3	1	6.91392e-14	145.758	0
0.108214	1	1	3	3.22231e-14	67.9322	0
0.108214	1	2	2	2.17644e-13	458.835	0
0.108214	1	3	1	6.91315e-14	145.742	0
0.109214	1	1	3	3.22239e-14	67.9339	0
0.109214	1	2	2	2.17651e-13	458.849	0
0.109214	1	3	1	6.91238e-14	145.726	0
0.110214	1	1	3	3.22247e-14	67.9356	0
0.110214	1	2	2	2.17658e-13	458.862	0
0.110214	1	3	1	6.91161e-14	145.709	0
0.111214	1	1	3	3.22255e-14	67.9373	0
0.111214	1	2	2	2.17664e-13	458.876	0
0.111214	1	3	1	6.91084e-14	145.693	0
0.112214	1	1	3	3.22263e-14	67.939	0
0.112214	1	2	2	2.17671e-13	458.89	0
0.112214	1	3	1	6.91007e-14	145.677	0
0.113214	1	1	3	3.22271e-14	67.9407	0
0.113214	1	2	2	2.17677e-13	458.904	0
0.113214	1	3	1	6.9093e-14	145.661	0
0.114214	1	1	3	3.22279e-14	67.9423	0
0.114214	1	2	2	2.17684e-13	458.918	0
0.114214	1	3	1	6.90853e-14	145.645	0
0.115214	1	1	3	3.22287e-14	67.944	0
0.115214	1	2	2	2.1769e-13	458.931	0
0.115214	1	3	1	6.90776e-14	145.628	0
0.116214	1	1	3	3.22295e-14	67.9457	0
0.116214	1	2	2	2.17697e-13	458.945	0
0.116214	1	3	1	6.90699e-14	145.612	0
0.117214	1	1	3	3.22303e-14	67.9474	0
0.117214	1	2	2	2.17703e-13	458.959	0
0.117214	1	3	1	6.90622e-14	145.596	0
0.118214	1	1	3	3.22311e-14	67.9491	0
0.118214	1	2	2	2.1771e-13	458.972	0
0.118214	1	3	1	6.90545e-14	145.58	0
0.119214	1	1	3	3.22319e-14	67.9508	0
0.119214	1	2	2	2.17716e-13	458.986	0
0.119214	1	3	1	6.90468e-14	145.563	0
0.120214	1	1	3	3.22327e-14	67.9525	0
0.120214	1	2	2	2.17723e-13	459	0
0.120214	1	3	1	6.90391e-14	145.547	0
0.121214	1	1	3	3.22335e-14	67.9542	0
0.121214	1	2	2	2.17729e-13	459.014	0
0.121214	1	3	1	6.90314e-14	145.531	0
0.122214	1	1	3	3.22343e-14	67.9559	0
0.122214	1	2	2	2.17736e-13	459.027	0
0.122214	1	3	1	6.90237e-14	145.515	0
0.123214	1	1	3	3.22351e-14	67.9576	0
0.123214	1	2	2	2.17742e-13	459.041	0
0.123214	1	3	1	6.9016e-14	145.499	0
0.124214	1	1	3	3.22359e-14	67.9593	0
0.124214	1	2	2	2.17749e-13	459.055	0
0.124214	1	3	1	6.90084e-14	145.482	0
0.125214	1	1	3	3.22367e-14	67.961	0
0.125214	1	2	2	2.17755e-13	459.069	0
0.125214	1	3	1	6.90007e-14	145.466	0
0.126214	1	1	3	3.22375e-14	67.9627	0
0.126214	1	2	2	2.17762e-13	459.082	0
0.126214	1	3	1	6.8993e-14	145.45	0
0.127214	1	1	3	3.22383e-14	67.9644	0
